0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Ford,Nixon,Johnson,Kennedy,Eisenhower,Truman,Roosevelt,Hoover,Coolidge,Harding
,,38,32.8,10.3,65.1,-4.9,68.8,38.1,23.0,-17.7,,-0.6,13.2,,76.6,14.5,175.5,-85.5,61.3,
,,39,26.1,22.6,65.2,-6.1,68.3,43.4,23.6,-14.4,,0.9,11.8,,78.1,9.6,184.6,-86.1,67.5,
,,40,29.0,27.8,54.9,-6.4,70.5,45.0,16.6,-10.8,,1.6,15.4,,65.0,9.8,197.6,-82.4,68.2,
,,41,30.5,29.9,61.0,-4.2,70.8,41.7,19.5,-9.1,,-1.8,19.5,,70.1,7.8,200.2,-76.3,67.4,
,,42,36.2,33.0,62.6,-6.9,67.0,44.9,17.7,-2.0,,-2.3,13.6,,78.7,14.0,202.9,-76.8,73.3,
,,43,38.6,43.1,63.6,-6.6,69.7,39.1,29.3,-2.3,,1.9,14.6,,73.3,3.5,219.8,-80.0,71.3,
,,44,41.2,39.9,67.9,-7.4,77.7,39.7,27.4,-2.3,,0.8,20.5,,64.0,7.2,230.7,-81.8,76.2,
,,45,39.3,33.4,63.7,-7.9,82.2,37.7,27.5,-3.1,,1.0,20.1,,65.6,8.3,224.7,-80.6,85.1,
,,46,49.8,49.2,62.8,-4.2,97.0,41.1,25.5,4.1,,7.6,23.5,,63.2,4.6,235.3,-80.3,77.9,
,,47,41.9,54.1,63.8,-1.0,94.8,40.9,27.9,1.0,,7.8,17.2,,72.4,7.0,238.1,-83.4,94.1,
,,48,48.6,50.9,73.2,-3.7,105.8,41.3,35.8,-0.7,,5.6,16.7,,65.4,5.3,236.5,-82.1,103.1,
,,49,,,75.7,-1.1,107.8,,35.5,,,1.0,20.6,,60.3,1.8,214.6,,111.4,
,,50,,,82.2,-3.5,98.9,,33.7,,,0.5,14.0,,63.9,1.2,215.4,,94.4,
,,51,,,85.5,-6.4,111.8,,32.8,,,-2.6,12.0,,70.6,6.3,205.6,,112.1,
,,52,,,88.9,-3.9,121.5,,38.9,,,-4.7,12.0,,74.3,8.0,235.0,,114.7,
,,53,,,86.3,-5.6,131.8,,41.0,,,-5.7,21.5,,73.7,10.3,220.2,,112.5,
,,54,,,93.7,-2.3,148.4,,42.2,,,-2.1,19.8,,75.5,14.6,179.0,,108.4,
,,55,,,85.1,-3.7,130.3,,40.8,,,-6.2,19.6,,67.1,15.8,149.4,,129.5,
,,56,,,89.1,-2.9,140.0,,40.3,,,0.1,17.7,,57.5,21.0,122.9,,126.4,
,,57,,,94.3,-4.1,124.8,,45.1,,,1.1,19.4,,52.2,22.0,118.1,,135.2,
,,58,,,101.1,-0.7,136.3,,55.4,,,-13.1,24.7,,55.3,23.0,120.0,,125.1,
,,59,,,107.2,-1.6,138.9,,63.3,,,-10.1,26.9,,50.4,24.5,134.0,,131.1,
,,60,,,96.2,-0.2,138.9,,65.8,,,-9.6,31.3,,55.3,29.6,78.6,,157.2,
,,61,,,104.0,1.0,158.2,,80.4,,,-9.0,25.7,,51.8,35.0,100.9,,154.0,
,,62,,,105.7,2.0,165.9,,92.0,,,-10.5,26.1,,54.2,26.4,94.5,,169.8,
,,63,,,107.2,4.4,173.8,,88.3,,,-11.6,,,57.3,26.6,141.7,,213.9,
,,64,,,108.9,2.6,168.9,,98.1,,,-15.2,,,59.7,31.1,155.0,,221.0,
,,65,,,110.3,2.4,170.5,,99.8,,,-15.2,,,65.0,36.8,151.4,,239.7,
,,66,,,107.0,2.7,168.4,,87.4,,,-19.9,,,73.6,36.0,155.3,,239.6,
,,67,,,113.7,4.5,127.8,,100.4,,,-28.3,,,75.5,37.6,173.9,,230.5,
,,68,,,113.0,7.3,136.9,,86.6,,,,,,83.6,42.3,170.4,,,
,,69,,,117.4,11.0,159.6,,98.2,,,,,,87.5,50.4,179.4,,,
,,70,,,122.8,12.3,175.4,,102.1,,,,,,92.4,52.4,159.5,,,
,,71,,,122.8,14.5,177.4,,100.1,,,,,,101.4,49.9,165.9,,,
,,72,,,114.5,15.9,182.7,,127.8,,,,,,105.0,56.6,138.0,,,
,,73,,,126.6,12.7,181.2,,134.8,,,,,,108.3,50.9,131.9,,,
,,74,,,122.2,13.5,195.7,,143.3,,,,,,107.7,46.7,149.4,,,
,,75,,,123.0,20.0,226.0,,141.4,,,,,,115.3,55.9,135.8,,,
,,76,,,125.1,25.2,219.0,,141.9,,,,,,122.2,63.4,158.6,,,
,,77,,,120.2,23.2,231.4,,155.3,,,,,,122.1,63.9,142.6,,,
,,78,,,121.1,21.4,221.9,,171.5,,,,,,132.9,58.6,175.3,,,
,,79,,,106.6,22.7,227.2,,181.1,,,,,,129.3,57.9,174.2,,,
,,80,,,103.5,27.6,212.3,,174.1,,,,,,118.0,62.7,163.0,,,
,,81,,,120.8,27.9,224.2,,110.5,,,,,,123.1,63.6,171.2,,,
,,82,,,121.5,22.8,228.6,,93.6,,,,,,127.5,57.2,162.3,,,
,,83,,,117.8,21.8,247.3,,104.7,,,,,,134.4,62.9,164.5,,,
,,84,,,105.8,16.2,230.5,,106.7,,,,,,114.9,55.7,167.1,,,
,,85,,,106.4,12.7,206.0,,118.7,,,,,,117.5,58.9,167.9,,,
,,86,,,121.0,12.6,230.0,,109.9,,,,,,112.8,65.8,109.8,,,
,,87,,,122.1,17.8,224.3,,114.5,,,,,,107.6,69.0,120.0,,,
,,88,,,122.3,16.1,217.9,,114.4,,,,,,115.9,66.2,127.7,,,
,,89,,,124.1,4.2,215.6,,126.1,,,,,,121.1,63.6,133.6,,,
,,90,,,130.4,4.5,217.9,,124.7,,,,,,112.8,62.7,139.4,,,
,,91,,,130.0,6.0,238.8,,114.5,,,,,,116.0,71.5,143.0,,,
,,92,,,128.8,-0.3,221.8,,123.1,,,,,,100.2,76.4,136.5,,,
,,93,,,126.8,-14.4,231.5,,126.8,,,,,,100.3,75.2,136.7,,,
,,94,,,139.0,-18.9,214.6,,123.2,,,,,,106.1,,124.1,,,
,,95,,,147.0,-19.4,225.9,,128.9,,,,,,112.5,,120.2,,,
,,96,,,148.3,-26.5,228.9,,147.3,,,,,,123.7,,121.5,,,
,,97,,,,,,,,,,,,,,,108.6,,,
,,98,,,,,,,,,,,,,,,109.0,,,
,,99,,,,,,,,,,,,,,,122.3,,,
,,100,,,,,,,,,,,,,,,132.5,,,
,,101,,,,,,,,,,,,,,,130.5,,,
,,102,,,,,,,,,,,,,,,128.9,,,
,,103,,,,,,,,,,,,,,,112.7,,,
,,104,,,,,,,,,,,,,,,106.2,,,
,,105,,,,,,,,,,,,,,,100.3,,,
,,106,,,,,,,,,,,,,,,96.9,,,
,,107,,,,,,,,,,,,,,,92.8,,,
,,108,,,,,,,,,,,,,,,79.7,,,
,,109,,,,,,,,,,,,,,,72.1,,,
,,110,,,,,,,,,,,,,,,82.1,,,
,,111,,,,,,,,,,,,,,,86.5,,,
,,112,,,,,,,,,,,,,,,90.8,,,
,,113,,,,,,,,,,,,,,,91.9,,,
,,114,,,,,,,,,,,,,,,96.9,,,
,,115,,,,,,,,,,,,,,,105.9,,,
,,116,,,,,,,,,,,,,,,106.7,,,
,,117,,,,,,,,,,,,,,,115.5,,,
,,118,,,,,,,,,,,,,,,126.7,,,
