0,Obama,counter,Trump (2016),Trump (2024)
,32.8,203,14.2,12.9
,35.7,204,13.8,13.2
,35.7,205,13.7,13.3
,36.4,206,13.8,11.4
,35.0,207,13.5,11.3
,35.8,208,12.9,10.3
,37.8,209,13.8,9.4
,37.9,210,13.5,9.8
,37.8,211,13.7,8.1
,36.0,212,14.4,9.2
,35.5,213,14.3,10.8
,37.4,214,14.6,11.8
,37.3,215,14.5,12.6
,37.9,216,15.7,13.2
,35.6,217,15.6,12.6
,36.1,218,16.6,12.9
,37.7,219,16.3,13.2
,37.8,220,16.2,13.4
,36.6,221,15.8,13.6
,37.4,222,15.8,13.2
,37.0,223,16.1,13.1
,35.6,224,16.7,13.8
,36.1,225,17.1,14.1
,36.9,226,17.3,12.9
,37.4,227,17.2,12.7
,38.4,228,16.8,
,37.6,229,17.8,
,37.7,230,18.4,
,36.1,231,18.1,
,36.9,232,18.0,
,38.4,233,18.2,
,38.8,234,18.1,
,39.2,235,18.0,
,39.9,236,18.1,
,40.1,237,18.3,
,39.9,238,17.7,
,39.9,239,18.7,
,38.5,240,19.4,
,40.7,241,19.9,
,41.1,242,20.8,
,41.2,243,21.0,
,41.8,244,21.1,
,42.2,245,21.0,
,42.4,246,21.8,
,41.1,247,22.7,
,42.3,248,22.2,
,42.6,249,23.4,
,41.1,250,23.2,
,42.8,251,23.7,
,41.3,252,24.7,
,38.7,253,25.0,
,35.6,254,24.9,
,36.2,255,25.0,
,35.6,256,26.5,
,36.3,257,25.6,
,34.7,258,24.3,
,33.4,259,24.3,
,35.3,260,24.2,
,37.0,261,21.6,
,36.3,262,16.6,
,32.0,263,18.7,
,32.4,264,18.1,
,31.2,265,13.6,
,32.9,266,15.3,
,32.7,267,16.9,
,33.9,268,17.2,
,33.6,269,18.8,
,36.0,270,20.2,
,36.5,271,20.3,
,37.4,272,19.6,
,37.7,273,18.9,
,37.6,274,19.0,
,35.9,275,21.0,
,37.3,276,22.4,
,37.0,277,20.8,
,37.2,278,19.5,
,38.6,279,17.9,
,38.9,280,18.5,
,38.9,281,19.8,
,39.5,282,20.1,
,41.4,283,20.1,
,41.4,284,20.6,
,41.6,285,22.7,
,42.3,286,22.5,
,42.8,287,21.7,
,42.8,288,21.1,
,42.9,289,21.0,
,44.0,290,21.2,
,44.8,291,19.4,
,44.8,292,19.6,
,44.0,293,19.4,
,44.8,294,16.4,
,45.8,295,14.0,
,45.0,296,17.0,
,44.8,297,15.0,
,44.9,298,14.7,
,45.7,299,16.3,
,45.7,300,13.7,
,45.2,301,15.1,
,46.3,302,16.4,
,47.5,303,17.2,
,47.7,304,14.7,
,46.8,305,15.1,
,47.3,306,17.0,
,48.3,307,16.3,
,48.6,308,17.3,
,48.7,309,17.0,
,50.4,310,17.9,
,50.5,311,19.2,
,48.1,312,19.3,
,48.7,313,18.6,
,49.9,314,17.6,
,49.8,315,17.6,
,50.1,316,16.0,
,51.2,317,16.2,
,50.5,318,17.4,
,47.0,319,17.5,
,48.0,320,16.6,
,49.9,321,16.9,
,47.4,322,16.0,
,49.3,323,15.8,
,45.7,324,17.3,
,44.8,325,17.7,
,40.1,326,17.6,
,38.0,327,18.8,
,44.0,328,19.9,
,43.5,329,20.1,
,45.5,330,20.2,
,43.7,331,19.4,
,41.0,332,19.9,
,41.2,333,19.8,
,39.2,334,19.4,
,38.5,335,20.3,
,33.1,336,20.0,
,35.1,337,20.3,
,33.3,338,20.1,
,33.4,339,19.8,
,32.6,340,18.4,
,37.0,341,19.9,
,35.3,342,19.1,
,33.0,343,20.4,
,36.4,344,20.9,
,37.0,345,21.0,
,32.2,346,22.1,
,30.5,347,22.0,
,31.9,348,22.4,
,31.1,349,22.5,
,35.0,350,22.7,
,35.6,351,22.2,
,35.3,352,22.5,
,38.5,353,22.4,
,38.4,354,22.1,
,38.6,355,21.6,
,38.8,356,21.8,
,38.2,357,21.1,
,36.0,358,21.3,
,35.6,359,19.6,
,33.3,360,19.9,
,33.7,361,18.9,
,33.5,362,19.6,
,29.3,363,19.7,
,28.0,364,20.1,
,27.6,365,19.5,
,27.0,366,20.5,
,27.7,367,21.5,
,31.7,368,22.6,
,32.9,369,23.0,
,33.9,370,22.1,
,34.0,371,23.2,
,36.0,372,23.3,
,36.0,373,23.2,
,36.2,374,23.7,
,32.2,375,24.0,
,33.0,376,23.5,
,34.6,377,23.4,
,32.8,378,23.6,
,35.8,379,24.2,
,36.9,380,25.3,
,38.5,381,24.9,
,38.3,382,24.1,
,37.4,383,23.4,
,36.8,384,24.0,
,36.8,385,23.9,
,39.8,386,24.5,
,39.1,387,25.1,
,40.0,388,25.5,
,39.8,389,25.9,
,39.3,390,25.8,
,40.1,391,25.6,
,39.2,392,24.7,
,35.3,393,24.2,
,34.6,394,25.0,
,34.0,395,24.1,
,34.0,396,25.1,
,35.7,397,25.5,
,35.9,398,25.8,
,33.6,399,26.0,
,33.1,400,26.0,
,32.6,401,25.8,
,30.6,402,26.6,
,31.1,403,27.5,
,30.1,404,27.6,
,32.2,405,28.3,
,30.3,406,27.7,
,30.3,407,27.7,
,34.2,408,27.5,
,35.4,409,27.2,
,37.2,410,26.7,
,35.6,411,26.4,
,36.5,412,26.7,
,37.1,413,27.1,
,37.8,414,27.2,
,39.3,415,27.9,
,39.2,416,27.9,
,39.7,417,27.2,
,39.7,418,27.9,
,39.8,419,28.0,
,41.9,420,29.0,
,41.5,421,29.0,
,40.9,422,28.5,
,39.7,423,28.4,
,42.7,424,27.9,
,41.8,425,28.3,
,42.5,426,28.3,
,42.2,427,28.8,
,41.7,428,28.7,
,42.4,429,28.8,
,41.2,430,27.8,
,44.2,431,27.0,
,44.1,432,27.0,
,43.8,433,26.8,
,44.7,434,22.6,
,44.7,435,20.1,
,45.3,436,21.8,
,46.3,437,21.1,
,45.8,438,23.7,
,46.1,439,23.7,
,47.1,440,21.9,
,44.8,441,21.9,
,46.3,442,21.3,
,46.6,443,20.7,
,46.9,444,16.9,
,47.2,445,19.1,
,47.2,446,17.1,
,46.8,447,16.3,
,47.0,448,18.1,
,46.9,449,19.4,
,47.1,450,20.7,
,48.2,451,19.9,
,48.8,452,20.6,
,51.6,453,21.3,
,52.2,454,23.9,
,51.9,455,23.6,
,50.7,456,22.4,
,51.4,457,20.0,
,50.7,458,19.9,
,48.9,459,18.9,
,48.7,460,20.2,
,46.3,461,20.5,
,46.4,462,18.5,
,48.6,463,16.3,
,49.0,464,16.7,
,48.8,465,15.9,
,46.6,466,17.7,
,48.8,467,18.1,
,47.7,468,20.8,
,47.5,469,20.5,
,46.6,470,21.5,
,49.8,471,22.9,
,51.7,472,18.9,
,52.1,473,18.7,
,51.9,474,15.9,
,52.0,475,16.1,
,52.5,476,16.1,
,53.1,477,16.7,
,54.0,478,16.7,
,54.1,479,14.5,
,54.2,480,12.1,
,53.4,481,12.1,
,54.4,482,10.4,
,54.5,483,8.6,
,54.9,484,6.4,
,55.8,485,3.5,
,56.3,486,8.6,
,56.1,487,9.6,
,56.2,488,9.4,
,56.3,489,10.4,
,56.5,490,10.5,
,56.2,491,7.8,
,56.2,492,11.5,
,58.0,493,12.3,
,57.7,494,13.3,
,58.5,495,13.8,
,58.2,496,14.3,
,57.9,497,14.3,
,57.7,498,13.7,
,58.3,499,14.9,
,59.7,500,15.2,
,59.4,501,16.1,
,60.6,502,17.6,
,60.8,503,15.9,
,59.2,504,16.2,
,59.0,505,16.3,
,59.4,506,17.3,
,60.3,507,16.4,
,60.4,508,16.2,
,61.0,509,18.0,
,61.4,510,19.1,
,58.5,511,19.2,
