0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Nixon,Kennedy,Eisenhower,Roosevelt,Hoover,Harding
,,41,27.6,27.3,49.7,-1.8,68.5,58.9,17.9,-13.7,-3.1,,82.0,158.5,-80.9,
,,42,30.5,32.7,40.4,-2.2,70.7,60.6,11.2,-10.2,-2.5,,68.5,170.9,-84.8,
,,43,32.0,35.0,45.9,0.2,71.1,56.9,14.0,-8.4,-5.7,,73.7,179.8,-85.4,
,,44,37.8,38.2,47.3,-2.6,67.3,60.5,12.3,-1.3,-6.1,,82.5,192.6,-81.5,
,,45,40.2,48.7,48.3,-2.3,69.9,54.0,23.3,-1.5,-2.2,,77.0,195.1,-75.1,
,,46,42.8,45.3,52.2,-3.2,78.0,54.7,21.5,-1.6,-3.2,,67.5,197.8,-75.6,
,,47,40.9,38.6,48.3,-3.7,82.4,52.6,21.5,-2.4,-3.0,,69.2,214.4,-78.9,
,,48,51.5,55.0,47.5,0.1,97.3,56.3,19.7,4.9,3.4,,66.7,225.1,-80.8,
,,49,,,48.4,3.5,95.1,,22.0,,3.5,,76.1,219.3,,
,,50,,,57.0,0.7,106.1,,29.5,,1.4,,68.9,229.6,,
,,51,,,59.2,3.4,108.1,,29.3,,-3.0,,63.8,232.4,,
,,52,,,65.1,0.9,99.2,,27.5,,-3.5,,67.4,230.8,,
,,53,,,68.1,-2.1,112.1,,26.6,,-6.5,,74.3,209.3,,
,,54,,,71.2,0.5,121.8,,32.4,,-8.5,,78.0,210.0,,
,,55,,,68.9,-1.3,132.1,,34.4,,-9.5,,77.4,200.5,,
,,56,,,75.6,2.2,148.8,,35.6,,-6.0,,79.3,229.4,,
,,57,,,67.7,0.6,130.6,,34.3,,-9.9,,70.8,214.8,,
,,58,,,71.4,1.5,140.4,,33.8,,-3.9,,60.9,174.3,,
,,59,,,76.1,0.2,125.2,,38.4,,-2.9,,55.5,145.2,,
,,60,,,82.2,3.8,136.7,,48.2,,-16.5,,58.6,119.1,,
,,61,,,87.8,2.9,139.3,,55.7,,-13.6,,53.6,114.5,,
,,62,,,77.8,4.3,139.2,,58.2,,-13.1,,58.6,116.3,,
,,63,,,84.9,5.6,158.6,,72.1,,-12.6,,55.1,130.1,,
,,64,,,86.4,6.7,166.2,,83.1,,-14.0,,57.5,75.6,,
,,65,,,87.8,9.1,174.2,,79.6,,-15.1,,60.7,97.5,,
,,66,,,89.3,7.2,169.3,,88.9,,-18.6,,63.1,91.2,,
