0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Nixon,Kennedy,Eisenhower,Roosevelt,Hoover
,,53,,,78.3,-12.0,85.8,,28.0,,-1.3,,78.3,150.8,
,,54,,,82.0,-9.4,96.7,,34.9,,-3.2,,84.8,148.2,
,,55,,,79.2,-9.4,105.2,,36.5,,-3.8,,84.6,135.1,
,,56,,,88.1,-6.1,121.2,,35.9,,-0.1,,86.7,159.2,
,,57,,,82.2,-7.2,108.5,,34.2,,-3.8,,76.2,144.9,
,,58,,,87.6,-6.6,119.6,,29.6,,0.1,,65.3,110.1,
,,59,,,96.0,-8.2,112.0,,35.1,,-0.1,,60.0,88.7,
,,60,,,101.5,-5.0,121.5,,43.9,,-11.5,,62.6,69.6,
,,61,,,106.2,-5.1,125.0,,50.4,,-10.0,,55.8,61.1,
,,62,,,98.9,-2.7,127.3,,50.7,,-10.9,,62.5,63.2,
,,63,,,107.5,-2.6,143.3,,61.5,,-11.2,,59.2,73.1,
,,64,,,108.9,-1.5,155.4,,70.0,,-13.3,,64.1,29.8,
,,65,,,110.2,-0.3,157.7,,67.6,,-16.7,,69.3,48.1,
,,66,,,114.6,-3.4,152.9,,76.0,,-19.5,,71.8,41.5,
,,67,,,118.7,-3.4,162.9,,78.5,,-20.6,,76.3,76.5,
,,68,,,115.4,-2.9,159.8,,68.0,,-26.8,,83.9,89.3,
,,69,,,123.5,-0.8,121.9,,80.0,,-33.4,,86.1,84.1,
,,70,,,120.1,1.6,135.8,,64.6,,,,95.1,86.9,
,,71,,,125.2,4.8,154.7,,73.6,,,,100.0,101.1,
,,72,,,130.7,6.5,169.8,,77.4,,,,104.5,94.4,
,,73,,,129.7,7.9,185.0,,72.3,,,,115.2,101.7,
,,74,,,122.6,9.4,196.7,,95.0,,,,116.1,87.8,
,,75,,,134.8,7.0,187.1,,102.2,,,,115.9,93.9,
,,76,,,130.7,8.1,198.2,,107.6,,,,116.1,67.6,
,,77,,,132.7,12.7,209.5,,105.2,,,,124.4,66.7,
,,78,,,135.1,16.4,201.8,,106.4,,,,128.7,77.1,
,,79,,,130.2,14.3,218.2,,116.3,,,,127.9,65.8,
,,80,,,134.7,10.7,208.0,,126.8,,,,135.8,83.8,
,,81,,,120.1,12.1,206.1,,134.7,,,,132.3,70.7,
,,82,,,114.2,16.1,197.4,,129.0,,,,121.7,98.8,
,,83,,,132.0,17.8,216.0,,79.2,,,,124.2,95.9,
,,84,,,132.1,12.6,222.0,,63.9,,,,127.1,86.3,
,,85,,,128.1,11.7,240.6,,75.8,,,,,90.7,
,,86,,,116.5,4.8,223.3,,82.9,,,,,84.0,
,,87,,,115.6,1.2,216.8,,90.6,,,,,85.2,
,,88,,,129.8,0.6,247.4,,84.2,,,,,87.0,
,,89,,,130.4,5.4,236.7,,86.0,,,,,86.1,
,,90,,,134.0,6.5,229.3,,86.6,,,,,41.5,
,,91,,,134.2,-2.7,237.2,,94.6,,,,,52.4,
,,92,,,142.5,-3.6,231.7,,93.6,,,,,57.1,
,,93,,,142.2,-2.4,251.8,,86.1,,,,,61.2,
,,94,,,141.9,-11.3,233.0,,93.5,,,,,62.7,
,,95,,,137.2,-26.3,231.4,,98.5,,,,,69.2,
,,96,,,145.3,-31.8,204.8,,94.8,,,,,62.0,
,,97,,,,,,,,,,,,61.5,
,,98,,,,,,,,,,,,53.7,
,,99,,,,,,,,,,,,51.5,
,,100,,,,,,,,,,,,52.1,
,,101,,,,,,,,,,,,42.1,
,,102,,,,,,,,,,,,42.7,
,,103,,,,,,,,,,,,50.4,
,,104,,,,,,,,,,,,58.6,
,,105,,,,,,,,,,,,57.3,
,,106,,,,,,,,,,,,55.7,
,,107,,,,,,,,,,,,45.0,
,,108,,,,,,,,,,,,38.9,
,,109,,,,,,,,,,,,32.7,
,,110,,,,,,,,,,,,34.5,
,,111,,,,,,,,,,,,31.1,
,,112,,,,,,,,,,,,22.3,
,,113,,,,,,,,,,,,16.9,
,,114,,,,,,,,,,,,24.4,
,,115,,,,,,,,,,,,26.7,
,,116,,,,,,,,,,,,30.7,
,,117,,,,,,,,,,,,31.6,
,,118,,,,,,,,,,,,35.1,
,,119,,,,,,,,,,,,43.8,
,,120,,,,,,,,,,,,41.8,
,,121,,,,,,,,,,,,49.2,
,,122,,,,,,,,,,,,59.8,
,,123,,,,,,,,,,,,67.9,
,,124,,,,,,,,,,,,76.8,
,,125,,,,,,,,,,,,76.9,
,,126,,,,,,,,,,,,84.9,
,,127,,,,,,,,,,,,88.5,
,,128,,,,,,,,,,,,78.3,
,,129,,,,,,,,,,,,80.2,
,,130,,,,,,,,,,,,84.4,
,,131,,,,,,,,,,,,82.0,
,,132,,,,,,,,,,,,68.2,
,,133,,,,,,,,,,,,78.2,
,,134,,,,,,,,,,,,80.9,
,,135,,,,,,,,,,,,80.5,
,,136,,,,,,,,,,,,83.5,
,,137,,,,,,,,,,,,81.2,
,,138,,,,,,,,,,,,88.5,
,,139,,,,,,,,,,,,98.2,
,,140,,,,,,,,,,,,94.0,
,,141,,,,,,,,,,,,95.7,
,,142,,,,,,,,,,,,95.1,
,,143,,,,,,,,,,,,95.1,
,,144,,,,,,,,,,,,95.9,
