date,value
1930-12-31,5.4837
1931-01-31,5.5106
1931-02-28,5.6181
1931-03-31,5.645
1931-04-30,5.5643
1931-05-31,5.4299
1931-06-30,5.3493
1931-07-31,5.1611
1931-08-31,4.9192
1931-09-30,4.731
1931-10-31,4.6772
1931-11-30,4.6504
1931-12-31,4.516
1932-01-31,4.4084
1932-02-29,4.3547
1932-03-31,4.059
1932-04-30,3.9246
1932-05-31,3.7902
1932-06-30,3.6827
1932-07-31,3.7902
1932-08-31,4.0321
1932-09-30,4.1665
1932-10-31,4.1665
1932-11-30,4.0859
1932-12-31,4.0052
1933-01-31,4.0321
1933-02-28,3.7902
1933-03-31,4.059
1933-04-30,4.731
1933-05-31,5.4568
1933-06-30,5.9675
1933-07-31,5.7256
1933-08-31,5.403
1933-09-30,5.1342
1933-10-31,4.8385
1933-11-30,4.8654
1933-12-31,5.0267
1934-01-31,5.2686
1934-02-28,5.5106
1934-03-31,5.5106
1934-04-30,5.6181
1934-05-31,5.5106
1934-06-30,5.1342
1934-07-31,5.0805
1934-08-31,4.7848
1934-09-30,4.9998
1934-10-31,5.0536
1934-11-30,5.3761
1934-12-31,5.8062
1935-01-31,5.9138
1935-02-28,5.8869
1935-03-31,5.7794
1935-04-30,5.7794
1935-05-31,5.86
1935-06-30,5.86
1935-07-31,6.075
1935-08-31,6.2363
1935-09-30,6.4245
1935-10-31,6.5589
1935-11-30,6.6395
1935-12-31,6.532
1936-01-31,6.3707
1936-02-29,6.4514
1936-03-31,6.8546
1936-04-30,6.989
1936-05-31,7.1234
1936-06-30,7.2578
1936-07-31,7.3653
1936-08-31,7.4997
1936-09-30,7.6073
1936-10-31,7.8223
1936-11-30,8.0642
1936-12-31,8.0373
1937-01-31,8.1449
1937-02-28,8.333
1937-03-31,8.333
1937-04-30,8.3599
1937-05-31,8.2524
1937-06-30,8.3062
1937-07-31,8.2524
1937-08-31,7.9836
1937-09-30,7.3922
1937-10-31,6.6664
1937-11-30,6.075
1937-12-31,5.9406
1938-01-31,5.8869
1938-02-28,5.8869
1938-03-31,5.7794
1938-04-30,5.645
1938-05-31,5.6987
1938-06-30,6.0213
1938-07-31,6.3439
1938-08-31,6.532
1938-09-30,6.6933
1938-10-31,6.9621
1938-11-30,7.0428
1938-12-31,7.0428
1939-01-31,7.0965
1939-02-28,7.1234
1939-03-31,7.0965
1939-04-30,7.0696
1939-05-31,7.2309
1939-06-30,7.446
1939-07-31,7.5535
1939-08-31,8.0105
1939-09-30,8.4137
1939-10-31,8.6287
1939-11-30,8.6287
1939-12-31,8.5212
1940-01-31,8.2524
1940-02-29,8.0642
1940-03-31,8.2255
1940-04-30,8.4674
1940-05-31,8.7362
1940-06-30,8.8438
1940-07-31,8.8975
1940-08-31,9.0857
1940-09-30,9.2201
1940-10-31,9.4351
1940-11-30,9.7577
1940-12-31,9.9996
1941-01-31,10.2953
1941-02-28,10.6179
1941-03-31,10.6448
1941-04-30,11.1286
1941-05-31,11.2093
1941-06-30,11.3437
1941-07-31,11.4781
1941-08-31,11.4781
1941-09-30,11.5856
1941-10-31,11.6394
1941-11-30,11.8275
1941-12-31,12.0695
1942-01-31,12.2845
1942-02-28,12.4189
1942-03-31,12.0695
1942-04-30,12.0963
1942-05-31,12.1232
1942-06-30,12.4189
1942-07-31,12.7952
1942-08-31,13.0909
1942-09-30,13.521
1942-10-31,13.8436
1942-11-30,14.1662
1942-12-31,14.3006
1943-01-31,14.6769
1943-02-28,14.7844
1943-03-31,14.9726
1943-04-30,15.0801
1943-05-31,14.9995
1943-06-30,15.4564
1943-07-31,15.779
1943-08-31,16.1822
1943-09-30,16.4241
1943-10-31,16.6392
1943-11-30,16.4241
1943-12-31,16.6123
1944-01-31,16.7467
1944-02-29,16.7198
1944-03-31,16.7198
1944-04-30,16.6123
1944-05-31,16.5585
1944-06-30,16.5317
1944-07-31,16.7467
1944-08-31,16.6392
1944-09-30,16.693
1944-10-31,16.5585
1944-11-30,16.5048
1944-12-31,16.3435
1945-01-31,16.2897
1945-02-28,16.1822
1945-03-31,15.8865
1945-04-30,15.4564
1945-05-31,15.107
1945-06-30,14.7576
1945-07-31,13.2253
1945-08-31,12.0426
1945-09-30,11.5587
1945-10-31,11.9888
1945-11-30,12.0426
1945-12-31,11.3706
1946-01-31,10.8061
1946-02-28,11.9351
1946-03-31,11.72
1946-04-30,11.2899
1946-05-31,11.9888
1946-06-30,12.392
1946-07-31,12.849
1946-08-31,13.0909
1946-09-30,13.3329
1946-10-31,13.4135
1946-11-30,13.4941
1946-12-31,13.6554
1947-01-31,13.7361
1947-02-28,13.8167
1947-03-31,13.7092
1947-04-30,13.7629
1947-05-31,13.7629
1947-06-30,13.6823
1947-07-31,13.7629
1947-08-31,13.8705
1947-09-30,14.0049
1947-10-31,14.193
1947-11-30,14.2468
1947-12-31,14.3274
1948-01-31,14.3543
1948-02-29,14.1931
1948-03-31,14.2199
1948-04-30,14.4618
1948-05-31,14.65
1948-06-30,14.65
1948-07-31,14.5962
1948-08-31,14.4887
1948-09-30,14.5963
1948-10-31,14.4081
1948-11-30,14.2737
1948-12-31,14.1393
1949-01-31,14.0049
1949-02-28,13.7361
1949-03-31,13.6554
1949-04-30,13.4673
1949-05-31,13.4404
1949-06-30,13.4135
1949-07-31,13.5479
1949-08-31,13.6823
1949-09-30,13.1716
1949-10-31,13.521
1949-11-30,13.7629
1949-12-31,14.0049
1950-01-31,14.0586
1950-02-28,14.5156
1950-03-31,14.9995
1950-04-30,15.3489
1950-05-31,15.8059
1950-06-30,16.3166
1950-07-31,16.8274
1950-08-31,16.7198
1950-09-30,16.8273
1950-10-31,16.8005
1950-11-30,17.0962
1950-12-31,17.1499
1951-01-31,17.2575
1951-02-28,17.3381
1951-03-31,17.365
1951-04-30,17.3112
1951-05-31,17.2306
1951-06-30,16.9618
1951-07-31,16.8005
1951-08-31,16.908
1951-09-30,16.8811
1951-10-31,17.0155
1951-11-30,17.123
1951-12-31,17.3112
1952-01-31,17.4187
1952-02-29,17.4725
1952-03-31,17.3112
1952-04-30,17.1499
1952-05-31,16.9886
1952-06-30,16.7198
1952-07-31,17.7951
1952-08-31,18.4402
1952-09-30,18.6284
1952-10-31,19.0047
1952-11-30,19.1122
1952-12-31,19.166
1953-01-31,19.2735
1953-02-28,19.4348
1953-03-31,19.5154
1953-04-30,19.6229
1953-05-31,19.5423
1953-06-30,19.7842
1953-07-31,19.6767
1953-08-31,19.2735
1953-09-30,19.1122
1953-10-31,18.6553
1953-11-30,18.1983
1953-12-31,18.0639
1954-01-31,18.1176
1954-02-28,18.0101
1954-03-31,17.9026
1954-04-30,18.0101
1954-05-31,18.0639
1954-06-30,18.0907
1954-07-31,18.0639
1954-08-31,18.0908
1954-09-30,18.3058
1954-10-31,18.6015
1954-11-30,18.8434
1954-12-31,19.2735
1955-01-31,19.5154
1955-02-28,19.9724
1955-03-31,20.2143
1955-04-30,20.5369
1955-05-31,20.5638
1955-06-30,20.7251
1955-07-31,20.6982
1955-08-31,20.8326
1955-09-30,21.182
1955-10-31,21.2358
1955-11-30,21.3164
1955-12-31,21.4508
1956-01-31,21.2627
1956-02-29,21.2627
1956-03-31,21.424
1956-04-30,21.2358
1956-05-31,21.0476
1956-06-30,20.4025
1956-07-31,21.2358
1956-08-31,21.7197
1956-09-30,21.9078
1956-10-31,21.7197
1956-11-30,22.0422
1956-12-31,21.9616
