date,close
1918-01-01,4.1051
1918-02-01,4.0714
1918-03-01,4.0194
1918-04-01,3.9475
1918-05-01,3.9688
1918-06-01,3.9055
1918-07-01,3.8871
1918-08-01,3.7819
1918-09-01,3.6544
1918-10-01,3.5568
1918-11-01,3.5549
1918-12-01,3.5215
1919-01-01,3.5660
1919-02-01,3.5877
1919-03-01,3.5723
1919-04-01,3.5464
1919-05-01,3.5382
1919-06-01,3.5527
1919-07-01,3.5258
1919-08-01,3.5024
1919-09-01,3.4956
1919-10-01,3.4672
1919-11-01,3.4065
1919-12-01,3.3829
1920-01-01,3.4401
1920-02-01,3.3726
1920-03-01,3.3189
1920-04-01,3.3290
1920-05-01,3.3119
1920-06-01,3.2903
1920-07-01,3.2730
1920-08-01,3.2694
1920-09-01,3.2684
1920-10-01,3.2777
1920-11-01,3.3109
1920-12-01,3.3621
1921-01-01,3.4131
1921-02-01,3.4558
1921-03-01,3.5157
1921-04-01,3.5945
1921-05-01,3.6165
1921-06-01,3.6691
1921-07-01,3.7226
1921-08-01,3.7769
1921-09-01,3.8343
1921-10-01,3.8847
1921-11-01,3.9245
1921-12-01,3.9387
1922-01-01,3.9794
1922-02-01,3.9893
1922-03-01,3.9627
1922-04-01,3.9425
1922-05-01,3.9291
1922-06-01,3.9166
1922-07-01,3.9026
1922-08-01,3.8975
1922-09-01,3.8707
1922-10-01,3.8386
1922-11-01,3.8443
1922-12-01,3.7960
1923-01-01,3.7267
1923-02-01,3.6935
1923-03-01,3.6941
1923-04-01,3.6804
1923-05-01,3.6564
1923-06-01,3.6512
1923-07-01,3.6321
1923-08-01,3.6276
1923-09-01,3.6264
1923-10-01,3.6628
1923-11-01,3.6327
1923-12-01,3.6226
1924-01-01,3.6380
1924-02-01,3.6108
1924-03-01,3.5834
1924-04-01,3.5754
1924-05-01,3.5747
1924-06-01,3.5515
1924-07-01,3.5406
1924-08-01,3.5238
1924-09-01,3.5125
1924-10-01,3.5113
1924-11-01,3.4755
1924-12-01,3.4691
1925-01-01,3.4711
1925-02-01,3.4734
1925-03-01,3.4845
1925-04-01,3.4962
1925-05-01,3.4939
1925-06-01,3.4915
1925-07-01,3.4851
1925-08-01,3.4705
1925-09-01,3.4606
1925-10-01,3.4474
1925-11-01,3.4486
1925-12-01,3.4360
1926-01-01,3.4299
1926-02-01,3.4158
1926-03-01,3.4186
1926-04-01,3.4175
1926-05-01,3.4113
1926-06-01,3.4051
1926-07-01,3.3928
1926-08-01,3.3939
1926-09-01,3.4017
1926-10-01,3.4073
1926-11-01,3.4259
1926-12-01,3.4310
1927-01-01,3.4252
1927-02-01,3.4196
1927-03-01,3.4028
1927-04-01,3.3894
1927-05-01,3.3878
1927-06-01,3.3872
1927-07-01,3.3944
1927-08-01,3.3916
1927-09-01,3.3889
1927-10-01,3.3939
1927-11-01,3.3878
1927-12-01,3.3944
1928-01-01,3.3999
1928-02-01,3.4099
1928-03-01,3.4138
1928-04-01,3.3910
1928-05-01,3.3960
1928-06-01,3.4116
1928-07-01,3.4376
1928-08-01,3.4570
1928-09-01,3.4438
1928-10-01,3.4427
1928-11-01,3.4415
1928-12-01,3.4387
1929-01-01,3.4316
1929-02-01,3.4141
1929-03-01,3.4129
1929-04-01,3.4464
1929-05-01,3.4499
1929-06-01,3.4464
1929-07-01,3.4163
1929-08-01,3.4073
1929-09-01,3.4203
1929-10-01,3.4175
1929-11-01,3.3576
1929-12-01,3.4487
1930-01-01,3.5014
1930-02-01,3.5050
1930-03-01,3.4997
1930-04-01,3.4979
1930-05-01,3.5098
1930-06-01,3.5014
1930-07-01,3.5163
1930-08-01,3.5259
1930-09-01,3.5495
1930-10-01,3.5642
1930-11-01,3.5611
1930-12-01,3.4985
1931-01-01,3.7525
1931-02-01,3.7600
1931-03-01,3.7494
1931-04-01,3.7234
1931-05-01,3.7100
1931-06-01,3.6678
1931-07-01,3.6524
1931-08-01,3.6202
1931-09-01,3.5653
1931-10-01,3.4605
1931-11-01,3.5324
1931-12-01,3.5914
1932-01-01,3.2197
1932-02-01,3.1881
1932-03-01,3.2282
1932-04-01,3.2197
1932-05-01,3.1653
1932-06-01,3.1711
1932-07-01,3.1300
1932-08-01,3.1094
1932-09-01,3.1066
1932-10-01,3.0923
1932-11-01,3.0867
1932-12-01,3.1108
1933-01-01,3.8004
1933-02-01,3.7830
1933-03-01,3.4633
1933-04-01,3.7642
1933-05-01,3.8721
1933-06-01,3.8967
1933-07-01,3.9018
1933-08-01,3.8773
1933-09-01,3.8130
1933-10-01,3.7530
1933-11-01,3.7234
1933-12-01,3.6698
1934-01-01,4.8490
1934-02-01,4.8396
1934-03-01,4.5249
1934-04-01,4.4081
1934-05-01,4.3646
1934-06-01,4.3258
1934-07-01,4.2574
1934-08-01,4.2017
1934-09-01,4.2133
1934-10-01,4.1856
1934-11-01,4.1172
1934-12-01,4.1085
1935-01-01,4.0444
1935-02-01,3.9339
1935-03-01,3.9782
1935-04-01,3.9750
1935-05-01,3.8402
1935-06-01,3.7614
1935-07-01,3.7513
1935-08-01,3.6428
1935-09-01,3.6138
1935-10-01,3.5236
1935-11-01,3.4156
1935-12-01,3.3902
1936-01-01,3.4126
1936-02-01,3.3977
1936-03-01,3.4913
1936-04-01,3.5176
1936-05-01,3.4070
1936-06-01,3.4100
1936-07-01,3.2634
1936-08-01,3.3925
1936-09-01,3.5454
1936-10-01,3.4541
1936-11-01,3.3754
1936-12-01,3.3599
1937-01-01,3.4014
1937-02-01,3.3987
1937-03-01,3.6424
1937-04-01,3.5916
1937-05-01,3.8019
1937-06-01,3.8180
1937-07-01,3.8089
1937-08-01,3.8500
1937-09-01,3.7728
1937-10-01,3.7266
1937-11-01,3.7250
1937-12-01,3.7167
1938-01-01,3.6916
1938-02-01,3.7014
1938-03-01,3.6580
1938-04-01,3.4698
1938-05-01,3.3210
1938-06-01,3.2428
1938-07-01,3.1623
1938-08-01,3.1723
1938-09-01,3.1427
1938-10-01,3.0469
1938-11-01,2.9907
1938-12-01,2.9621
1939-01-01,2.9146
1939-02-01,2.9416
1939-03-01,2.9093
1939-04-01,2.7730
1939-05-01,2.6986
1939-06-01,2.6779
1939-07-01,2.6260
1939-08-01,2.5694
1939-09-01,2.4328
1939-10-01,2.3674
1939-11-01,2.3837
1939-12-01,2.3886
1940-01-01,2.3001
1940-02-01,2.2749
1940-03-01,2.2492
1940-04-01,2.2034
1940-05-01,2.1507
1940-06-01,2.0805
1940-07-01,2.0542
1940-08-01,2.0823
1940-09-01,2.0448
1940-10-01,1.9936
1940-11-01,1.9705
1940-12-01,1.9558
1941-01-01,1.9411
1941-02-01,1.9694
1941-03-01,1.9597
1941-04-01,1.9837
1941-05-01,1.9630
1941-06-01,1.9846
1941-07-01,1.9729
1941-08-01,1.9702
1941-09-01,1.9336
1941-10-01,1.9229
1941-11-01,2.0432
1941-12-01,2.0074
1942-01-01,1.9855
1942-02-01,1.9712
1942-03-01,1.9654
1942-04-01,1.9704
1942-05-01,1.9661
1942-06-01,1.9275
1942-07-01,1.9296
1942-08-01,1.8731
1942-09-01,1.8194
1942-10-01,1.7525
1942-11-01,1.6939
