0,May-82 to Present,counter,Dec-48 to May-82,Jul-21 to Dec-48
,1161.3,208,426.6,119.1
,1209.3,209,398.6,126.4
,1227.3,210,390.8,110.3
,1302.9,211,377.9,115.4
,1235.0,212,344.7,92.8
,1135.9,213,336.7,87.9
,1232.7,214,355.2,102.1
,1209.7,215,346.5,91.1
,1183.9,216,343.1,109.5
,1174.8,217,379.4,96.6
,1183.9,218,373.4,123.1
,1268.5,219,388.4,122.1
,1199.6,220,406.0,113.1
,1238.7,221,380.9,119.7
,1170.8,222,385.2,112.6
,1216.3,223,410.0,114.3
,1228.5,224,408.3,116.4
,1180.6,225,422.7,117.1
,1105.4,226,396.2,70.0
,1209.9,227,394.0,78.3
,1231.5,228,410.5,84.5
,1181.5,229,382.5,89.3
,1184.0,230,374.1,94.0
,1114.1,231,374.2,96.9
,979.6,232,414.5,91.6
,1007.3,233,407.1,91.8
,1102.1,234,406.4,81.6
,1122.8,235,398.0,78.4
,1110.4,236,405.4,79.5
,1133.1,237,427.8,69.0
,1169.5,238,437.2,69.3
,1113.6,239,455.6,80.1
,1111.1,240,432.3,88.4
,1027.9,241,433.6,86.8
,966.0,242,410.6,85.5
,957.1,243,427.6,72.3
,826.4,244,435.9,67.1
,924.6,245,428.8,62.3
,985.5,246,392.5,59.6
,917.8,247,359.9,56.2
,882.7,248,371.9,45.6
,862.9,249,358.6,39.5
,875.2,250,382.8,47.6
,934.7,251,358.2,51.1
,979.9,252,351.4,54.6
,996.4,253,319.7,55.5
,1026.7,254,338.6,59.6
,1048.9,255,343.1,66.8
,1031.7,256,315.2,67.5
,1095.9,257,295.1,74.6
,1093.7,258,285.5,83.7
,1175.6,259,314.1,90.3
,1179.8,260,331.2,99.8
,1191.4,261,329.0,98.2
,1163.8,262,326.2,107.8
,1147.7,263,347.9,109.7
,1143.2,264,373.2,98.8
,1173.3,265,389.8,99.8
,1137.2,266,395.7,104.9
,1141.4,267,410.1,102.2
,1130.0,268,431.2,89.5
,1123.5,269,412.0,98.8
,1172.4,270,402.6,101.0
,1215.7,271,384.2,99.4
,1180.0,272,406.5,103.1
,1213.7,273,400.4,99.3
,1181.7,274,373.2,108.0
,1143.7,275,368.9,117.0
,1177.2,276,402.1,113.7
,1153.7,277,408.8,115.0
,1198.4,278,423.5,114.6
,1179.0,279,430.6,114.3
,1189.6,280,438.2,115.5
,1173.9,281,441.9,122.8
,1218.5,282,424.0,124.8
,1207.7,283,421.6,134.6
,1225.7,284,443.6,125.8
,1241.4,285,437.7,142.0
,1255.6,286,438.9,146.2
,1287.0,287,474.3,141.8
,1262.8,288,475.3,138.2
,1260.5,289,463.5,154.9
,1264.9,290,438.7,165.8
,1288.7,291,436.4,172.9
,1325.1,292,419.7,180.0
,1374.1,293,408.4,182.2
,1391.3,294,402.9,199.4
,1420.7,295,422.5,178.0
,1440.1,296,400.6,192.2
,1397.0,297,434.2,202.4
,1407.5,298,439.5,210.5
,1493.9,299,363.8,200.7
,1562.8,300,379.9,194.8
,1536.1,301,382.5,176.7
,1512.1,302,385.4,152.2
,1529.9,303,377.5,147.4
,1595.5,304,371.9,148.4
,1599.7,305,352.4,159.2
,1531.6,306,352.6,163.9
,1518.6,307,327.2,161.7
,1443.6,308,282.7,159.2
,1396.7,309,242.8,149.6
,1396.3,310,275.4,147.6
,1464.3,311,248.9,159.3
,1442.1,312,247.6,167.9
,1284.9,313,296.9,161.6
,1288.3,314,316.8,159.6
,1308.6,315,333.2,165.9
,1224.0,316,363.2,162.4
,1037.8,317,369.4,165.0
,977.3,318,395.8,156.0
,970.9,319,369.0,144.7
,876.3,320,371.1,159.2
,761.8,321,347.8,164.0
,828.4,322,371.5,179.0
,896.7,323,385.4,177.1
,937.2,324,380.8,165.2
,930.7,325,450.1,165.8
,1019.1,326,448.6,160.8
,1058.7,327,463.7,175.9
,1085.1,328,462.2,150.4
,1085.1,329,450.0,159.3
,1162.3,330,465.6,
,1172.4,331,455.4,
,1128.4,332,449.2,
,1159.9,333,458.5,
,1224.7,334,444.2,
,1243.3,335,434.2,
,1136.9,336,466.6,
,1092.6,337,438.3,
,1177.1,338,428.2,
,1122.0,339,418.4,
,1216.4,340,422.8,
,1256.7,341,406.9,
,1243.0,342,416.8,
,1312.7,343,402.0,
,1351.0,344,385.9,
,1391.9,345,377.8,
,1403.2,346,361.6,
,1463.1,347,368.0,
,1433.8,348,368.8,
,1414.8,349,334.2,
,1381.7,350,318.6,
,1317.1,351,327.2,
,1231.6,352,372.3,
,1358.7,353,374.1,
,1369.8,354,361.9,
,1390.8,355,386.3,
,1441.5,356,394.5,
,1480.4,357,388.3,
,1512.1,358,347.0,
,1512.3,359,350.7,
,1412.2,360,354.0,
,1471.6,361,373.3,
,1487.3,362,356.2,
,1497.3,363,386.3,
,1539.6,364,382.2,
,1498.0,365,363.8,
,1489.4,366,374.9,
,1499.0,367,377.4,
,1591.3,368,400.6,
,1614.9,369,395.5,
,1678.9,370,360.1,
,1710.7,371,363.8,
,1744.4,372,373.1,
,1719.3,373,394.0,
,1791.2,374,386.8,
,1707.1,375,343.2,
,1746.1,376,360.8,
,1796.9,377,379.9,
,1862.9,378,389.5,
,1922.7,379,427.5,
,1815.6,380,426.0,
,1891.6,381,425.9,
,1908.2,382,421.4,
,1923.2,383,460.3,
,1939.8,384,443.7,
,1953.2,385,434.3,
,1921.0,386,449.7,
,1986.3,387,466.2,
,1979.6,388,462.7,
,2022.0,389,459.4,
,2075.4,390,451.0,
,2074.8,391,437.1,
,1994.5,392,397.2,
,2112.5,393,379.4,
,2069.0,394,380.9,
