date,close
1915-01-01,110.8627
1915-02-01,107.8824
1915-03-01,119.2745
1915-04-01,140.7451
1915-05-01,127.4706
1915-06-01,137.3725
1915-07-01,148.0980
1915-08-01,159.2157
1915-09-01,177.6078
1915-10-01,186.9412
1915-11-01,189.6275
1915-12-01,194.4118
1916-01-01,135.1940
1916-02-01,135.8657
1916-03-01,139.1791
1916-04-01,133.8060
1916-05-01,137.0149
1916-06-01,133.7015
1916-07-01,133.2090
1916-08-01,137.6866
1916-09-01,154.8209
1916-10-01,156.1343
1916-11-01,158.1642
1916-12-01,141.7910
1917-01-01,113.6071
1917-02-01,109.0000
1917-03-01,115.1429
1917-04-01,110.9881
1917-05-01,115.9286
1917-06-01,113.5476
1917-07-01,109.2262
1917-08-01,99.2857
1917-09-01,99.3571
1917-10-01,88.6905
1917-11-01,86.4881
1917-12-01,88.5476
1918-01-01,81.4286
1918-02-01,82.0306
1918-03-01,77.9694
1918-04-01,79.0918
1918-05-01,79.6735
1918-06-01,84.2653
1918-07-01,82.8878
1918-08-01,84.1429
1918-09-01,86.4082
1918-10-01,87.2551
1918-11-01,82.5816
1918-12-01,83.8776
1919-01-01,71.3363
1919-02-01,75.0531
1919-03-01,78.6283
1919-04-01,82.1947
1919-05-01,93.3628
1919-06-01,94.6726
1919-07-01,94.8319
1919-08-01,92.6991
1919-09-01,98.6018
1919-10-01,105.2389
1919-11-01,91.7876
1919-12-01,94.8938
1920-01-01,101.1748
1920-02-01,88.5243
1920-03-01,99.8155
1920-04-01,90.8155
1920-05-01,89.1359
1920-06-01,88.1165
1920-07-01,84.3204
1920-08-01,83.6505
1920-09-01,80.5340
1920-10-01,82.6019
1920-11-01,73.8252
1920-12-01,69.8544
1921-01-01,120.8413
1921-02-01,119.0159
1921-03-01,120.2540
1921-04-01,124.7143
1921-05-01,116.5714
1921-06-01,108.6508
1921-07-01,108.5238
1921-08-01,106.5238
1921-09-01,112.8254
1921-10-01,116.2063
1921-11-01,122.6984
1921-12-01,128.2540
1922-01-01,119.5588
1922-02-01,125.6765
1922-03-01,130.9559
1922-04-01,135.1912
1922-05-01,141.2206
1922-06-01,136.6618
1922-07-01,142.7206
1922-08-01,148.2059
1922-09-01,142.8235
1922-10-01,141.3382
1922-11-01,139.1912
1922-12-01,144.3676
1923-01-01,149.8923
1923-02-01,159.8462
1923-03-01,158.1077
1923-04-01,151.3538
1923-05-01,150.0462
1923-06-01,136.0000
1923-07-01,133.7077
1923-08-01,143.7846
1923-09-01,135.3385
1923-10-01,136.2000
1923-11-01,142.0615
1923-12-01,146.9538
1924-01-01,150.2388
1924-02-01,145.8060
1924-03-01,137.7313
1924-04-01,135.2687
1924-05-01,134.1791
1924-06-01,143.8358
1924-07-01,152.4478
1924-08-01,155.4328
1924-09-01,153.9701
1924-10-01,155.3134
1924-11-01,165.8209
1924-12-01,179.8657
1925-01-01,178.9710
1925-02-01,177.1594
1925-03-01,169.2029
1925-04-01,173.9275
1925-05-01,188.3333
1925-06-01,189.8696
1925-07-01,193.9275
1925-08-01,204.6087
1925-09-01,207.9130
1925-10-01,225.5797
1925-11-01,218.9565
1925-12-01,218.9565
1926-01-01,253.7903
1926-02-01,249.4839
1926-03-01,226.5484
1926-04-01,231.7903
1926-05-01,231.3387
1926-06-01,246.8387
1926-07-01,258.3548
1926-08-01,262.1129
1926-09-01,255.1452
1926-10-01,243.1613
1926-11-01,252.5000
1926-12-01,253.5484
1927-01-01,274.4035
1927-02-01,284.1404
1927-03-01,280.8421
1927-04-01,288.8421
1927-05-01,303.4386
1927-06-01,291.6316
1927-07-01,318.2456
1927-08-01,332.9649
1927-09-01,346.6491
